id,title,word2vec
7011,慕瑾年简默笙,"[-0.1621546557705317,0.17175752057560853,-0.0867097291796069,0.04521812249108084,-0.018146414176693982]"
7010,倾世帝王宠：鬼魅四小姐,"[-0.06857830773892433,0.06176964421239164,-0.0829323541579975,0.02014441686252313,-0.03982183569611084]"
7009,无限存档宫斗系统,"[-0.17218674018941058,-0.07276188907669666,-0.04750031851498144,-0.05002639959186163,-0.07816011502350471]"
7008,婚宠之枭妻霸爱,"[-0.05702704606867839,0.020609445320289643,-0.051320465800703555,-0.008809666172219593,-0.06334121842089979]"
7004,重生之废后逆袭,"[-0.06452022475952451,-0.006447936907749284,-0.03609480279582468,-0.02940119820731607,-0.06389090057293122]"
7002,婚色几许：陆先生入戏太深,"[-0.041484682458228894,0.04965184058970477,-0.026499972478309763,0.003577108365259593,-0.04646275180710267]"
7001,六宫无妃,"[0.04668871692732954,0.12054429317015361,0.10158557194040814,-0.11133013371011762,-0.113924292084135]"
6999,青梅萌妻：冷少的掌心宝,"[-0.11653196043926843,-0.04099484386467138,-0.011239227795405156,-0.04656763074098755,-0.03823789752135843]"
6998,绝代战兵,"[0.002656663715077395,0.02639945924536071,0.009483065900646829,-0.11718602618202567,-0.1238997174765576]"
6993,江湖往事之凤城飞帅,"[0.000739991525770165,0.055824991553090515,-0.018718369733542205,0.01106346672284417,-0.11182627928908914]"
6992,神医毒妃：妖孽王爷欠调教,"[-0.011376236643021304,0.03872251132419571,-0.024463549410798945,-0.06342007013378091,-0.09921606889185615]"
6990,日常翻墙的小侯爷,"[-0.05288646841907631,0.028536173008868227,-0.04237231015956596,0.016391790082232783,-0.017863057118476085]"
6987,混元剑帝,"[-0.05083110360516551,0.05195696069419665,-0.020330010570656015,0.011856516227916867,-0.02772046334795513]"
6986,国色生枭,"[-0.04897525285328315,0.07843543343584645,-0.042339899418452245,0.03548574148656123,0.01076335073660382]"
6978,娇妻入怀：顾少轻点宠,"[-0.15758363815859475,-0.010811888917895227,-0.01762664139848845,-0.00942734821603216,-0.03967615717154895]"
6976,限制级婚宠，第365次偷吻,"[-0.055360964087802646,0.027456440700916573,-0.05059700099185907,-0.03755591406453667,-0.06628577762915354]"
6975,最强狂暴妖孽系统,"[-0.0754730122620767,0.0024871725922907297,-0.040573014372538,-0.013564835878018782,-0.028779212332699658]"
6970,温故而知心[娱乐圈],"[-0.06834953972720541,0.002140583777509164,-0.0205968820839189,-0.03281684510729974,-0.05061836460372433]"
6969,惊世第一杀手妃：邪王狂妻,"[-0.03888203013998767,0.06443617847825711,-0.06862660660097997,-0.002921392677817494,-0.05834921621096631]"
6968,追妻擒心术,"[-0.042993599147655805,0.027469676538285883,-0.02559783071223082,-0.025134929099515306,-0.04860412746413865]"
6966,重生西游之万界妖尊,"[-0.10995674172315646,0.028924462196694034,-0.03716077703693127,0.007766611339222338,-0.0024021098994322725]"
6962,洪荒之逆天妖帝,"[-0.04899186178898582,0.08042902204518516,-0.03974498833458011,0.022140586103957433,-0.005113122698206168]"
6961,万古界圣,"[-0.020608312456243776,0.06814819580250525,-0.10998492155672063,-0.005341394091190039,-0.003358328302355507]"
6956,邪王嗜宠：惊世弃妃太嚣张,"[-0.045793303208034715,0.049353254425776316,-0.07460665426297504,-0.006859210268076923,-0.07420267999160712]"
6955,无爱承欢,"[-0.12102534640580416,-0.004104402077583862,-0.026886527453150066,-0.04326735668416534,-0.08421794697642326]"
6954,真武神帝,"[-0.09529577948661444,0.0264445929788053,-0.036979222508641524,-0.003933824375461863,-0.0012917572641935274]"
6953,次元钓客,"[-0.04174941531517475,0.036630603336337685,-0.05001417445221349,-0.025789394399380664,-0.07803551517966865]"
6952,九玄天帝,"[-0.09388096703398995,0.013796770225533031,-0.06253079203253781,-0.006562449505012906,-0.06099649143950294]"
6949,我的主神妹妹,"[-0.03310233572902123,0.004655911446601714,-0.036348181530692664,-0.02113587802104687,-0.06380346921747022]"
6947,你好，旧时光,"[-0.05575672429619805,0.0411355974221671,-0.044816690824787925,0.010947324111367817,-0.02037034584151834]"
6946,出嫁该从夫,"[-0.07439159262151915,0.02662515188804117,0.0023850352124516238,-0.07495476914396099,-0.07975459083425418]"
6945,出嫁愿从夫,"[-0.09213411849714927,0.029272981078377856,-0.02681731338849041,-0.010634185071928606,-0.04425847882043515]"
