title,link,author,wordNum,read,rec
火影之死神之镰,https://www.biquker.com/xiaoshuo/7054.html,雪中的甜点,332000字,6,穿越木叶之八门遁甲 吞天武神 穿越者吹水群 一品村姑+番外 重生之风云录 萌宠兽世：兽夫，么么哒！ 异界纨绔公子 快穿：总有炮灰在作死！ 海贼之火龙咆哮
甜宠百分百：校草的萌萌未婚妻,https://www.biquker.com/xiaoshuo/7053.html,森束束,4264000字,7,傲娇男神太难追 影帝男神请多指教 快穿72变：男神，宠上瘾 一不小心撩到男神怎么破 我的甜甜圈先生 霸道人生 闪婚之错缘成爱 快穿之男神不按套路出牌 快穿攻略之女配上位记
邪帝绝宠：狂傲世子妃,https://www.biquker.com/xiaoshuo/7052.html,颜小笠,1074000字,8,邪王追妻：毒医世子妃 医妃倾城：腹黑殿下请温柔 邪王盛宠：神医庶女 重生霸宠：摄政王爷太凶猛 废材七公主 名门庶女：残君嫡王很妖孽 我不狠，站不稳 农门贵女 穿越农女发家记
"皇上滚开,本宫只劫财",https://www.biquker.com/xiaoshuo/7051.html,惑乱江山,554000字,2,侯门嫡女：弃后不好惹 一代诡妃 独占帝宠：杀手俏医妃 宫心谋之庶女皇妃 凤动九天：废材杀手妃 时间都知道 狂妃来袭：丑颜王爷我要了 一品村姑+番外 寂寞空庭春欲晚
亡后归来,https://www.biquker.com/xiaoshuo/7048.html,鸭圣婆,4112000字,2,宦妃还朝 惊世第一杀手妃：邪王狂妻 夺君天下 倾尽天下之乱世繁华 非我倾城 凤倾天阑 傲剑天下 九凤朝凰：绝色兽妃逆天下 双面妖女惑天下
我的野蛮姐姐,https://www.biquker.com/xiaoshuo/7047.html,唐熬,1816000字,2,超级兵王在都市 掀翻时代的男人 无双隐龙在都市 终极兵神 都市逍遥强兵 我的姐姐是大明星 医品强少 都市超神狼兵 都市之纨绔天才
盛世隐婚：绝宠小娇妻,https://www.biquker.com/xiaoshuo/7034.html,沈落木,3868000字,2,我的美女总裁老婆 我的大小姐老婆 画爱为牢：总裁请走开 我的老婆太宠我 相逢爱不晚 冷妻归来，boss小心宠 老公，这次来真的 偏执总裁宠上瘾 情难自控：前夫请接招
狼胎入梦：养夫为患,https://www.biquker.com/xiaoshuo/7033.html,鬼眼姐姐,1640000字,4,龙凤双宝心尖宠 蛇妻美人 娇妻入怀：顾少轻点宠 劫天命 我的姐姐是大明星 我的鬼神大人 送你一片小薄荷 盛世婚宠：霸道老公好缠人 我怀了反派的孩子
民调局异闻录之勉传,https://www.biquker.com/xiaoshuo/7032.html,耳东水寿,6506000字,2,你的名字 论以貌取人的下场 帝道至尊 天诺狂兵 我的美妻不太乖 一胎二宝总裁追妻上瘾 穿越之医倾天下 婚途漫漫，腹黑祈少惹不起 夺君天下
邪王霸宠：逆天六小姐,https://www.biquker.com/xiaoshuo/7031.html,楚雁飞,684000字,2,绝色龙妃很嚣张 逆天废材：腹黑邪王心尖宠 鬼手神医：倾城王妃 冥帝绝宠：逆天神医毒妃 夜帝的第一狂妃 爆宠萌妃：神医九小姐 盛世狂妃：废材逆天四小姐 惊世医妃，腹黑九皇叔 天才嫡女，废材四小姐
南有夫君不可休,https://www.biquker.com/xiaoshuo/7030.html,花开未央,482000字,3,下堂王妃不好惹 王爷的娇夫：夫君太妖娆 夜帝独宠：天才萌宝俏娘亲 悍妻种田记 系统小农女：夫君，劫个色 医妃权谋天下 名门盛婚 风流名将 沉年花惜落
娇妻如芸,https://www.biquker.com/xiaoshuo/7019.html,兰泽,428000字,4,碧玉娇妻 一宠成瘾：娇妻无处逃 蜜宠之诱拐小娇妻 名门盛婚 风流名将 娇妻入怀：顾少轻点宠 首席娇妻翻滚吧前夫 第二十八年春 前妻，别来无恙
武帝弑神,https://www.biquker.com/xiaoshuo/7017.html,流泪的鱼wyj,1326000字,3,斗罗大陆3龙王传说 神印王座 超级神基因 修炼狂潮 末世诸天觉醒 兽世逮捕令：小萌宠，别跑！ 末世大回炉 女王的恣意人生 万界淘宝商
唐朝小官人,https://www.biquker.com/xiaoshuo/7016.html,上山打老虎额,1380000字,85,夺君天下 重生之全能巨星 千山记 宋时归 征战诸天世界 超级抗战系统 国色芳华 次元钓客 天眼人生
倾心之恋：总裁的妻子,https://www.biquker.com/xiaoshuo/7014.html,韩降雪,2066000字,4,首席的独宠新娘 月前间心玉生花 天才酷宝神助攻 盛世婚宠：霸道老公好缠人 爱有余毒，唯情可解 与你百日风华 总裁老公宠婚忙 限制级婚宠，第365次偷吻 秋落思漫漫
高冷男神住隔壁：错吻55次,https://www.biquker.com/xiaoshuo/7013.html,叶非夜,1646000字,2,狂追失忆妻 溺爱鲜妻：隐婚老公放肆宠 老公，这次来真的 欧少的替身前妻 闪婚蜜宠：老公大人请温柔 不落相思意 先婚后爱：老公很凶猛 欧总甜蜜温柔妻 夜夜缠欢：老公，不要了！
慕瑾年简默笙,https://www.biquker.com/xiaoshuo/7011.html,京七,94000字,99,时间都知道 风流名将 名门盛婚 秋落思漫漫 前妻，别来无恙 三生三世艳莲杀 第二十八年春 这次来真的 不落相思意
倾世帝王宠：鬼魅四小姐,https://www.biquker.com/xiaoshuo/7010.html,琉璃妃,1890000字,2,凤逆天下：穿越之绝色兽妃 穿越之绝色兽妃：凤逆天下 妖孽邪王，废材小姐太凶猛 医妃倾天下 凤动九天：废材杀手妃 邪王嗜宠：惊世弃妃太嚣张 盛世狂妃：废材逆天四小姐 邪皇抢婚：第一杀手狂妃 毒医太子妃
无限存档宫斗系统,https://www.biquker.com/xiaoshuo/7009.html,我是小雪参,1300000字,2,快穿系统之女配上位记 我是系统之女帝养成计划 一人之下在漫威 快穿系统：炮灰女配要翻身 女帝直播攻略 最强外挂系统 花瓶学霸重生日常 快穿女配：反派BOSS有毒 无上升级系统
婚宠之枭妻霸爱,https://www.biquker.com/xiaoshuo/7008.html,落风一夜,780000字,12,重生之神医皇后 隔墙有男神：易少，轻轻宠 我的美妻不太乖 无双隐龙在都市 至尊都市神医 除了你，我还能爱谁 顾小姐，余生请多关照 都市天命妖瞳 重生之鬼眼医妃
重生之废后逆袭,https://www.biquker.com/xiaoshuo/7004.html,绿绮尘埃,212000字,2,重生之女神养成计划 重生嫡女：风华倾天下 嫡女重生：凤霸天下 重生女相师 重生复仇：腹黑嫡女 重生之庶女国色 重生专宠：摄政王的毒妃 嫡女重生之凰倾天下 重生之风云录
婚色几许：陆先生入戏太深,https://www.biquker.com/xiaoshuo/7002.html,西风灼灼,614000字,6,半晴半雨听风说你 一夜深情深几许 情难自控：前夫请接招 风流名将 名门盛婚 欧少的替身前妻 前妻，别来无恙 顾凉夕霍阑 这次来真的
六宫无妃,https://www.biquker.com/xiaoshuo/7001.html,月斜影清,10820000字,3,时间都知道 慕瑾年简默笙 把直男掰弯的方法 名门盛婚 风流名将 朕甚是心累 南风也曾入我怀 最是无情帝王家 第二十八年春
青梅萌妻：冷少的掌心宝,https://www.biquker.com/xiaoshuo/6999.html,西红柿爱鸡蛋,254000字,1,婚婚来迟：冷少，你宝贝掉了 闪婚萌妻慢慢宠 萌妻养成方程式 呆萌小青梅：妖孽竹马太腹黑 风流名将 名门盛婚 龙凤双宝心尖宠 亿万逐爱 亿万总裁霸宠妻
绝代战兵,https://www.biquker.com/xiaoshuo/6998.html,束山有草,326000字,4,秦飞扬唐沁雪 最强龙婿 神品医少 都市之纨绔天才 都市风流邪少 无双隐龙在都市 都市绝代医皇 我欲成王 隐杀
江湖往事之凤城飞帅,https://www.biquker.com/xiaoshuo/6993.html,月斜影清,312000字,1,"雪中悍刀行 把直男掰弯的方法 爹地们,太腹黑 每天都在缺功德 少年江湖物语 大内傲娇学生会 随身空间之七零末 时间都知道 罪臣之女的锦绣芳华"
神医毒妃：妖孽王爷欠调教,https://www.biquker.com/xiaoshuo/6992.html,姗宝呗,826000字,1,神医萌妃，王爷约不约 金牌神医：腹黑宠妃 邪王神妃：医手遮天 冷王爆宠：逆袭王妃惹人爱 傲娇王爷倾城妃 王爷你好贱 妖孽王爷请绕道 病娇王爷凶悍妃 每天都在缺功德
日常翻墙的小侯爷,https://www.biquker.com/xiaoshuo/6990.html,枝芍,144000字,92,绝色龙妃很嚣张 鬼手神医：倾城王妃 惊世毒妃：轻狂大小姐 后来偏偏喜欢你 逆天废材：腹黑邪王心尖宠 爆宠萌妃：神医九小姐 邪王霸宠：逆天六小姐 天才小狂妃：邪皇，轻点亲 邪宠大小姐：绝世狂妃
混元剑帝,https://www.biquker.com/xiaoshuo/6987.html,乘风御剑,304000字,1,剑临天下 九霄邪君 夺君天下 傲世九重天 一剑飞仙 天域苍穹 圣王 超武穿梭 帝武丹尊
国色生枭,https://www.biquker.com/xiaoshuo/6986.html,沙漠,3112000字,2,夺君天下 济世医途 重生之风云录 死亡红包群 异界纨绔公子 吞天武神 天域苍穹 一切从天行九歌开始崛起 保卫国师大人
娇妻入怀：顾少轻点宠,https://www.biquker.com/xiaoshuo/6978.html,若青言,974000字,136,诱妻入怀：前夫，请温柔 一宠成瘾：娇妻无处逃 蜜宠之诱拐小娇妻 风流名将 名门盛婚 狼胎入梦：养夫为患 这次来真的 不落相思意 第二十八年春
限制级婚宠，第365次偷吻,https://www.biquker.com/xiaoshuo/6976.html,喵十九,310000字,1,强婚挚爱，湛少霸宠嫩妻 竹马成双对 快穿之男神不按套路出牌 傲娇男神太难追 征战诸天世界 限量级婚宠 重返十八岁：男神，哪里逃 半欢半爱+番外 影帝男神请多指教
最强狂暴妖孽系统,https://www.biquker.com/xiaoshuo/6975.html,我妖选吕布,1252000字,3,快穿女配：反派BOSS有毒 最强修真弃少 我是系统之女帝养成计划 快穿：报告宿主，您已被攻略！ 最强外挂系统 变身之女神养成计划 最强仙府升级系统 史上最强坑爹系统 最强妖兽系统
